ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
398;0.054727;0.090000;504.669672;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
402;0.056211;0.090000;504.635882;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
405;0.057718;0.090000;504.603600;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
409;0.059505;0.090000;504.573105;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
412;0.059718;0.090000;504.542824;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
415;0.067465;0.090000;504.520289;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
418;0.069196;0.090000;504.499484;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
422;0.070907;0.090000;504.480391;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
425;0.076008;0.090000;504.466399;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
429;0.078009;0.090000;504.454408;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
433;0.083691;0.090000;504.448099;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
436;0.087637;0.090000;504.445736;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
440;0.089088;0.090000;504.444824;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
443;0.093068;0.090000;504.447892;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
447;0.098490;0.090000;504.456382;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
450;0.097787;0.090000;504.464169;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
454;0.101928;0.090000;504.476097;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
457;0.106286;0.090000;504.492384;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
460;0.110508;0.090000;504.512892;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
464;0.114585;0.090000;504.537477;3.285000;2;0.924577;gr_sensing_SM_con03,gr_sensing_TC_con01,
467;0.115100;0.030000;504.622578;1.800000;1;0.442456;gr_sensing_SM_con03,
471;0.119668;0.030000;504.712246;1.800000;1;0.442456;gr_sensing_SM_con03,
473;0.130177;0.030000;504.812423;1.800000;1;0.442456;gr_sensing_SM_con03,
477;0.134828;0.030000;504.917251;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
480;0.130230;0.090000;504.957481;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
484;0.143317;0.090000;505.010798;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
487;0.137859;0.090000;505.058657;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
491;0.148567;0.090000;505.117224;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
494;0.151232;0.090000;505.178456;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
498;0.148756;0.090000;505.237212;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
501;0.159811;0.090000;505.307023;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
505;0.154568;0.090000;505.371591;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
509;0.167675;0.090000;505.449266;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
512;0.162894;0.090000;505.522161;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
516;0.173864;0.090000;505.606024;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
519;0.167640;0.090000;505.683664;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
523;0.171931;0.090000;505.765595;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
526;0.184079;0.090000;505.859674;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
530;0.185342;0.090000;505.955016;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
532;0.191331;0.090000;506.056347;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
536;0.205457;0.090000;506.171804;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
539;0.209875;0.090000;506.291680;3.285000;2;0.939497;gr_sensing_SM_con03,gr_sensing_TC_con01,
