;I_bat;I_in;V_bat;V_in;P_in;P_bat;E_in;E_bat;0
2019-07-19 10:30:00;3.01199051270903e-05;-6.99262756521739e-05;4.200346371157191;2.0449052750167223;0.00014287680457516778;0.00012651403803129983;;;
2019-07-19 10:35:00;3.047571898327759e-05;-7.041025649163879e-05;4.200345595983277;2.0456752643110367;0.00014392172866511366;0.00012800856125388648;;;
2019-07-19 10:40:00;3.127577750167224e-05;-7.197277862876253e-05;4.200355197832776;2.0492960183311038;0.00014737721139407742;0.0001313693785361763;;;
2019-07-19 10:45:00;3.1034270402684566e-05;-7.158764140604026e-05;4.2003397499999995;2.048363744;0.00014652174480931951;0.00013035448378214505;;;
2019-07-19 10:50:00;3.1245452137123744e-05;-7.214620413043477e-05;4.200348945183946;2.0500042077625418;0.00014777082018734215;0.00013124180697159283;;;
2019-07-19 10:55:00;3.159755375919732e-05;-7.278126271237458e-05;4.200344406384615;2.0498487006688966;0.0001490859344229696;0.00013272061069334896;;;
2019-07-19 11:00:00;3.164254360535117e-05;-7.285147464548494e-05;4.200339350137124;2.0507000666789295;0.00014927330300018064;0.00013290942518551826;;;
2019-07-19 11:05:00;3.169319593311036e-05;-7.345247896989966e-05;4.200336761859532;2.05159772638796;0.00015057205199880258;0.00013312209903875675;;;
2019-07-19 11:10:00;3.233082607357859e-05;-7.45027673812709e-05;4.200336134341137;2.0539749452876257;0.00015290347245541645;0.00013580034462906709;;;
2019-07-19 11:15:00;3.1269366013377926e-05;-7.234656947826087e-05;4.2003569214515055;2.050091908538462;0.00014821409811195048;0.0001313425051880707;;;
2019-07-19 11:20:00;3.333403883277592e-05;-7.678899438461538e-05;4.200366915090301;2.058780067923077;0.00015795405325208685;0.0001400151995225837;;;
2019-07-19 11:25:00;3.240134837123745e-05;-7.439225183277592e-05;4.200365286762542;2.054605838334448;0.000152763959568773;0.00013609751464606929;;;
2019-07-19 11:30:00;2.8971530090301004e-05;-6.725920306688963e-05;4.200365347622074;2.038628702668896;0.00013702892108782863;0.00012169100963553676;;;
2019-07-19 11:35:00;2.795322254849498e-05;-6.503769767558528e-05;4.200359265461538;2.035159137006689;0.00013229979246199915;0.00011741358448451214;;;
2019-07-19 11:40:00;2.9281543969899662e-05;-6.819929298996655e-05;4.200359415832776;2.0403808406488295;0.00013907471408984524;0.0001229930239595597;;;
2019-07-19 11:45:00;3.318256448829431e-05;-7.593468577591973e-05;4.200357267909699;2.0555292735652175;0.00015600252639747948;0.00013937862684920704;;;
2019-07-19 11:50:00;3.617038372240802e-05;-8.259915585284281e-05;4.200352478879599;2.0669751432876255;0.00017059382277539333;0.0001519283693579043;;;
2019-07-19 11:55:00;3.5283103284280936e-05;-8.082760007692308e-05;4.200340610474917;2.062888998749164;0.00016664577690702966;0.00014820105537547603;;;
2019-07-19 12:00:00;3.721606572909699e-05;-8.456049754180602e-05;4.200341759086956;2.0699616474481606;0.00017491739142168157;0.00015632020245751142;;;
2019-07-19 12:05:00;3.655936204347826e-05;-8.326956816722408e-05;4.200339239889632;2.0677270575117057;0.00017205718186582918;0.00015356172779048516;;;
2019-07-19 12:10:00;3.62118827090301e-05;-8.247032251170568e-05;4.200332503063546;2.0662880906321073;0.000170267901361263;0.00015210195620765255;;;
2019-07-19 12:15:00;3.0465809916387954e-05;-7.105452292307692e-05;4.200328685538461;2.0459105733511707;0.00014531670306698193;0.00012796643511175303;;;
2019-07-19 12:20:00;3.146873733221476e-05;-7.277119546308724e-05;4.20033651675839;2.047146043295302;0.00014893430621787515;0.0001321793154183588;;;
2019-07-19 12:25:00;3.782118643143812e-05;-8.59816178896321e-05;4.200341940471572;2.071229029662207;0.00017794232572970292;0.0001588619233759753;;;
2019-07-19 12:30:00;3.967544405016722e-05;-8.97049247625418e-05;4.200328528408027;2.07628333151505;0.00018611467213600332;0.00016664990687340346;;;
2019-07-19 12:35:00;4.013403239799331e-05;-9.093672066555184e-05;4.200326058284281;2.07845943938796;0.00018886172676856888;0.00016857602933913996;;;
2019-07-19 12:40:00;4.210683030100334e-05;-9.526101581939799e-05;4.200322661418061;2.0851245386923076;0.00019845898013239613;0.0001768622839708228;;;
