ticks;energyInput;energyConsumed;energyInBuffer;energyAllocated;currentlyPlaying;currentTotalBenefit
226;0.000000;0.000000;506.700000;0.000000;1;-0.044776
230;0.000000;0.000000;506.700000;0.000000;1;-0.044776
234;0.000000;0.000000;506.700000;0.000000;1;-0.044776
238;0.000000;0.000000;506.700000;0.000000;1;-0.044776
243;0.000000;0.000000;506.700000;0.000000;1;0.000000
247;0.000000;0.000000;506.700000;0.000000;1;0.000000
252;0.000000;0.000000;506.700000;0.000000;1;0.000000
256;0.000000;0.000000;506.700000;0.000000;1;0.000000
261;0.000000;0.000000;506.700000;0.000000;1;0.000000
266;0.000000;0.000000;506.700000;0.000000;1;0.000000
270;0.000000;0.000000;506.700000;0.000000;1;0.000000
275;0.000000;0.000000;506.700000;0.000000;1;0.000000
280;0.000000;0.000000;506.700000;0.000000;1;0.000000
284;0.000000;0.000000;506.700000;0.000000;1;0.000000
289;0.000000;0.000000;506.700000;0.000000;1;0.000000
293;0.000000;0.000000;506.700000;0.000000;1;-0.069254
297;0.000000;0.000000;506.700000;0.000000;1;-0.069254
302;0.000000;0.000000;506.700000;0.000000;1;-0.069254
306;0.000000;0.000000;506.700000;0.000000;1;-0.069254
311;0.000000;0.000000;506.700000;0.000000;1;-0.069254
316;0.000000;0.000000;506.700000;0.000000;1;-0.009552
320;0.000000;0.000000;506.700000;0.000000;1;-0.009552
325;0.000000;0.000000;506.700000;0.000000;1;-0.009552
330;0.000000;0.000000;506.700000;0.000000;1;-0.009552
334;0.000000;0.000000;506.700000;0.000000;1;-0.009552
339;0.000000;0.000000;506.700000;0.000000;1;-0.009552
344;0.000000;0.000000;506.700000;0.000000;1;-0.069254
348;0.000000;0.000000;506.700000;0.000000;1;-0.069254
353;0.000000;0.000000;506.700000;0.000000;1;-0.069254
357;0.061630;0.000000;506.761630;0.000000;1;-0.069254
361;0.063688;0.000000;506.825319;0.000000;1;-0.069254
366;0.062888;0.000000;506.888206;0.000000;1;-0.098850
370;0.060391;0.000000;506.948598;0.000000;1;-0.098850
375;0.064213;0.000000;507.012811;0.000000;1;-0.098850
379;0.063193;0.000000;507.076003;0.000000;1;-0.098850
384;0.064912;0.000000;507.140915;0.000000;1;-0.098850
389;0.064751;0.000000;507.205666;0.000000;1;-0.098850
393;0.061497;0.000000;507.267163;0.000000;1;-0.020424
398;0.062498;0.000000;507.329661;0.000000;1;-0.020424
403;0.060887;0.000000;507.390548;0.000000;1;-0.020424
407;0.064565;0.000000;507.455113;0.000000;1;-0.020424
412;0.063368;0.000000;507.518482;0.000000;1;-0.020424
415;0.129374;0.000000;507.647856;6.900000;1;0.002262
420;0.128789;0.150000;507.626645;6.900000;1;0.002262
425;0.123928;0.150000;507.600574;6.900000;1;0.002262
429;0.128784;0.150000;507.579357;6.900000;1;0.002262
434;0.123698;0.150000;507.553055;6.900000;1;0.002262
439;0.129832;0.150000;507.532887;6.900000;1;0.002262
443;0.128315;0.150000;507.511202;3.000000;1;0.401746
448;0.126968;0.150000;507.488170;3.000000;1;0.401746
453;0.125287;0.150000;507.463457;3.000000;1;0.401746
457;0.121205;0.150000;507.434662;3.000000;1;0.401746
462;0.128049;0.150000;507.412711;3.000000;1;0.401746
